Employee_Id,Name,Initials,Email_Id,Contact_Info
,,,,
E101,Alastair Cook,TE01,alastaircook@gmail.com,9425631785
E102,Funsuk Wangudu,TE02,funsukw@gmail.com,8965423658
E103,Milkha Singh,TE03,flyingsikh@gmail.com,9456387425
E104,Raj Malhotra,TE04,raj.ddlj@gmail.com,8456325789
E105,Kalpana Chawla,TE05,Spacegirl@yahoo.com,9456328954
E106,Smita Patil,TE06,smitapatil@gmail.com,8645986321
E107,Vidya Bakshi,TE07,vidyabakshi@gmail.com,9456325781
E108,Albert Einstein,TE08,albertgod@gmail.com,8654325968
E109,Bhiku Mhati,TE09,bhikumhati@gmail.com,9863256789
E110,Rocket Singh,TE10,Rocketsalesman@gmail.com,8754693215
E111,Nelson Mandela,TE11,nelson@gmail.com,9863636532
E112,Ram Shankar Nikumbh,TE12,taarezameenpar@gmail.com,9003630214
